strategy_id,strategy_label,model_mode,event_date,event_key,match,tournament,tournament_round,surface,tournament_level,match_type,score,score_family,odds_bucket,model_probability,bookmaker_odds,edge,expected_value,won,setfox_passed_default,actual_first_set_score,actual_score_source,actual_score_confidence,actual_score_status,actual_score_notes
setfox_strict,SetFox Strict,independent,2025-01-29,12010248,T. Pereira vs F. Mazzola,M15 Monastir 4,M15 Monastir 4 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,13,0.1257895570042076,1.6352642410546987,false,true,6-1,API-Tennis,high,resolved,matched by event_key 12010248; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-29,12010291,A. Binda vs D. Rapagnetta,M15 Sharm ElSheikh,M15 Sharm ElSheikh - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,13,0.1257895570042076,1.6352642410546987,false,true,6-2,API-Tennis,high,resolved,matched by event_key 12010291; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-30,12010522,S. Daavettila vs J. Moon,W15 Monastir 4,W15 Monastir 4 - 1/8-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,false,true,6-1,API-Tennis,high,resolved,matched by event_key 12010522; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-30,12010451,J. Nikles vs A. Horoz,M15 Zahra,M15 Zahra - 1/8-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,13,0.1257895570042076,1.6352642410546987,false,true,6-3,API-Tennis,high,resolved,matched by event_key 12010451; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-30,12010465,A. Siskova vs N. Maines,W15 Sharm ElSheikh,W15 Sharm ElSheikh - 1/8-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,13,0.1257895570042076,1.6352642410546987,false,true,6-0,API-Tennis,high,resolved,matched by event_key 12010465; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-30,12010527,V. Panshina vs B. Du Pree,W15 Sharm ElSheikh,W15 Sharm ElSheikh - 1/8-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,13,0.1257895570042076,1.6352642410546987,false,true,6-4,API-Tennis,high,resolved,matched by event_key 12010527; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-30,12010429,D. Michalski vs J. Sperle,M25 Antalya,M25 Antalya - 1/8-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,12,0.1193793005939512,1.4325516071274143,false,true,6-4,API-Tennis,high,resolved,matched by event_key 12010429; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-31,12010748,H. Searle vs T. Martin,M25 Glasgow,M25 Glasgow - Quarter-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,false,true,6-4,API-Tennis,high,resolved,matched by event_key 12010748; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-31,12010656,Y. Naito vs A. Stoyanov,W15 Antalya 4,W15 Antalya 4 - Quarter-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,15,0.13604596726061785,2.040689508909268,false,true,1-6,API-Tennis,high,resolved,matched by event_key 12010656; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-31,12010604,A. Habib vs L. Gerch,M15 Zahra,M15 Zahra - Quarter-finals,hard,itf,singles,6-4,normal,odds_12_18,0.069702559033664,15,0.0030358923669973337,0.04553838550496003,false,true,5-7,API-Tennis,high,resolved,matched by event_key 12010604; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-04,12011613,T. Compagnucci vs N. Johnston,"M15 Sunrise, FL","M15 Sunrise, FL - 1/16-finals",hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,12,0.1193793005939512,1.4325516071274143,false,true,1-6,API-Tennis,high,resolved,matched by event_key 12011613; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-05,12011566,M. Martinez vs A. Garcia Garcia,M15 Valencia,M15 Valencia - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,false,true,6-4,API-Tennis,high,resolved,matched by event_key 12011566; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-05,12011770,O. Wallin vs L. Sciahbasi,M15 Sharm ElSheikh 2,M15 Sharm ElSheikh 2 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,false,true,3-6,API-Tennis,high,resolved,matched by event_key 12011770; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-05,12011773,M. Krajci vs A. Asylkozhaev,M15 Sharm ElSheikh 2,M15 Sharm ElSheikh 2 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,false,true,6-0,API-Tennis,high,resolved,matched by event_key 12011773; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-05,12011576,J. Nikles vs D. Kopilevich,M15 Zahra 2,M15 Zahra 2 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,15,0.13604596726061785,2.040689508909268,false,true,6-4,API-Tennis,high,resolved,matched by event_key 12011576; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-05,12011750,M. Dhamne vs N. Barsukov,M15 Monastir 5,M15 Monastir 5 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,15,0.13604596726061785,2.040689508909268,false,true,6-1,API-Tennis,high,resolved,matched by event_key 12011750; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-06,12011993,M. Mrva vs D. Sakellaridis,M15 Monastir 5,M15 Monastir 5 - 1/8-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,false,true,6-3,API-Tennis,high,resolved,matched by event_key 12011993; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-06,12012003,T. Zink vs V. Goncalves,"M15 Sunrise, FL","M15 Sunrise, FL - 1/8-finals",hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,false,true,6-2,API-Tennis,high,resolved,matched by event_key 12012003; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-06,12011949,R. Pacheco Mendez vs T. Martinez,M25 Antalya 2,M25 Antalya 2 - 1/8-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,15,0.13604596726061785,2.040689508909268,false,true,6-4,API-Tennis,high,resolved,matched by event_key 12011949; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-06,12011984,P. Bertran vs E. Monferrer,M15 Huamantla 2,M15 Huamantla 2 - 1/8-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,15,0.13604596726061785,2.040689508909268,false,true,5-7,API-Tennis,high,resolved,matched by event_key 12011984; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-06,12011937,A. Oetzbach vs G. Bosio,M15 Sharm ElSheikh 2,M15 Sharm ElSheikh 2 - 1/8-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,12.5,0.12271263392728453,1.5339079240910567,false,true,6-3,API-Tennis,high,resolved,matched by event_key 12011937; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-07,12012120,J. Nikles vs V. Lapalu,M15 Zahra 2,M15 Zahra 2 - Quarter-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,15,0.13604596726061785,2.040689508909268,false,true,6-3,API-Tennis,high,resolved,matched by event_key 12012120; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-08,12012303,A. Perez vs K. Pannu,M15 Huamantla 2,M15 Huamantla 2 - Semi-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,12,0.1193793005939512,1.4325516071274143,false,true,6-2,API-Tennis,high,resolved,matched by event_key 12012303; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-10,12012632,K. Ogura vs C. Crowther,M25 Timaru,M25 Timaru - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,12,0.1193793005939512,1.4325516071274143,false,true,5-7,API-Tennis,high,resolved,matched by event_key 12012632; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-02-11,12012729,G. Piraino vs C. Cordoba,M15 Valencia 2,M15 Valencia 2 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,false,true,6-2,API-Tennis,high,resolved,matched by event_key 12012729; first-set score from fixture.scores[set=1].score_first/score_second
