strategy_id,strategy_label,model_mode,event_date,event_key,match,tournament,surface,tournament_level,match_type,score,score_family,odds_bucket,model_probability,bookmaker_odds,edge,expected_value,won,setfox_passed_default
"setfox_strict","SetFox Strict","independent","2025-05-21","12036152","N. Makhlouf vs M. Cossu","M15 Monastir 20","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-21","12036146","M. Summers vs V. Melnic","M15 Heraklion 6","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15.5","0.13819650489502647","2.14204582587291","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-22","12036325","L. Luciano vs T. Sramkova","W15 Monastir 20","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-22","12036402","D. Added vs S. Badini","M25 Bol","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-22","12036426","M. Capurro Taborda vs L. Garcia Vidal","W15 Trelew 2","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-22","12036084","S. Cuenin vs J. Klimas","M15 Kursumlijska Banja 4","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-22","12036095","A. Gillan vs J. Cabaj Awad","W15 Estepona","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-23","12036552","K. Isomura vs S. Tange","M15 Luan 5","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-23","12036652","V. Bielinskyi vs A. Raynel","M15 Brcko","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-23","12036533","S. Tsujioka vs H. Koyama","W15 Fukui","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","13.2","0.12695505816970876","1.6758067678401556","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-23","12036534","Y. Yang vs J. Wang","W15 Maanshan 4","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","13","0.1257895570042076","1.6352642410546987","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-23","12036669","J. Sperle vs B. Zapata Miralles","M25 Mataro","hard","itf","singles","6-4","normal","odds_12_18","0.069702559033664","17.5","0.012559701890806858","0.21979478308912004","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-24","12036847","V. Bielinskyi vs T. Berkieta","M15 Brcko","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","12.2","0.12074542081253042","1.4730941339128711","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-24","12036834","A. Tkachenko vs M. Vogt","W15 Tsaghkadzor 2","hard","itf","singles","6-4","normal","odds_12_18","0.069702559033664","17","0.010879029621899294","0.18494350357228795","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-25","12037004","V. Bielinskyi vs D. Obradovic","M15 Brcko","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","13","0.1257895570042076","1.6352642410546987","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-26","12037202","L. E. Ambrogi vs F. Ribero","M25 Coquimbo 2","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","12","0.1193793005939512","1.4325516071274143","true","true"
"setfox_strict","SetFox Strict","independent","2025-05-26","12037164","M. Ujvary vs B. Artnak","M15 Warmbad Villach","hard","itf","singles","6-4","normal","odds_12_18","0.069702559033664","15","0.0030358923669973337","0.04553838550496003","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-26","12037165","L. Deflandre vs T. Faurel","M25 Carnac","hard","itf","singles","6-4","normal","odds_12_18","0.069702559033664","15","0.0030358923669973337","0.04553838550496003","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-27","12037350","F. Balshaw vs G. Gomez","M25 Carnac","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
