date,market,level,side,match,pinn_fair_odds,pinn_vig,best_book,best_price,value,won
2025-09-03,Home/Away,slam,Home,F. Auger-Aliassime vs A. De Minaur,2.3929,0.0226,Unibet,2.3,-0.03881,true
2025-09-03,Home/Away,slam,Away,F. Auger-Aliassime vs A. De Minaur,1.7179,0.0226,1xBet,1.78,0.03612,false
2025-09-03,Home/Away (1st Set),slam,Home,F. Auger-Aliassime vs A. De Minaur,2.1966,0.0313,1xBet,2.28,0.03795,false
2025-09-03,Home/Away (1st Set),slam,Away,F. Auger-Aliassime vs A. De Minaur,1.8357,0.0313,188bet,1.77,-0.03578,true
2025-09-03,Home/Away,slam,Home,A. Anisimova vs I. Swiatek,4.6,0.0222,Betano,4.45,-0.03261,true
2025-09-03,Home/Away,slam,Away,A. Anisimova vs I. Swiatek,1.2778,0.0222,Unibet,1.25,-0.02174,false
2025-09-03,Home/Away (1st Set),slam,Home,A. Anisimova vs I. Swiatek,3.4853,0.0312,bet365,3.4,-0.02447,true
2025-09-03,Home/Away (1st Set),slam,Away,A. Anisimova vs I. Swiatek,1.4024,0.0312,188bet,1.37,-0.02308,false
2025-09-04,Home/Away,slam,Home,J. Sinner vs L. Musetti,1.0617,0.0209,Betano,1.05,-0.01104,true
2025-09-04,Home/Away,slam,Away,J. Sinner vs L. Musetti,17.2019,0.0209,Marathon,17,-0.01174,false
2025-09-04,Home/Away (1st Set),slam,Home,J. Sinner vs L. Musetti,1.2096,0.0251,Marathon,1.16,-0.041,true
2025-09-04,Home/Away (1st Set),slam,Away,J. Sinner vs L. Musetti,5.7712,0.0251,188bet,5.6,-0.02966,false
2025-09-04,Home/Away,slam,Home,K. Muchova vs N. Osaka,3.6222,0.0232,bet365,3.5,-0.03374,false
2025-09-04,Home/Away,slam,Away,K. Muchova vs N. Osaka,1.3814,0.0232,Unibet,1.36,-0.01546,true
2025-09-04,Home/Away (1st Set),slam,Home,K. Muchova vs N. Osaka,3.0276,0.0298,bet365,3,-0.00911,false
