date,match,tournament,firstSet,leg36,leg46,leg57,dutch,overround,outcomes,won
2026-07-20,G. Onclin vs D. Ajdukovic,Tampere,7:6,11,9,19,3.926931106471816,1.2314596317537778,14,false
2026-06-15,T. Gibson vs F. Jones,Nottingham,6:3,13,12,31,5.194414607948443,1.0609558834388355,14,false
2026-06-22,M. Tobon vs M. Krumich,Targu Mures,4:6,8.5,6.1,13.5,2.81170917854991,1.1379105020882703,14,true
2026-05-18,T. Duran vs F. Agamenone,Istanbul (Turkey) - Qualification,3:6,5.5,6.8,13.5,2.481690833128533,1.1927217077313157,14,true
2026-04-20,D. Glinka vs S. Kozlov,Savannah,2:6,7.5,7.5,17,3.072289156626506,1.2419353149692023,14,false
2026-03-16,R. Zarazua vs M. Trevisan,Miami,4:6,15,12,23,5.168539325842697,1.2378162113590594,14,true
2026-07-06,L. Maxted vs A. Ghibaudo,Nottingham 4,6:3,5.55,8.5,15,2.7435300959581275,1.1178725565208243,14,false
2026-07-13,M. H. Rehberg vs G. I. Justo,Cordenons,3:6,7.7,10,17.5,3.484162895927602,1.2078932566835792,14,true
2026-07-20,T. Faurel vs D. Rincon,Zug,6:7,5.7,5.85,13.5,2.3783880171184024,1.2377932875804394,14,false
2026-06-15,M. Bouzkova vs T. Valentova,Nottingham,6:3,10,9,23,3.9278937381404173,1.075753816561904,14,false
2026-06-22,M. Pucinelli de Almeida vs L. E. Ambrogi,Piracicaba,6:7,8.6,7.7,17,3.2789817080274966,1.3808040706650393,14,false
2026-05-18,A. Martin vs D. Jorda Sanchis,Istanbul (Turkey) - Qualification,6:2,7,6.1,15,2.677675585284281,1.1440789201256012,14,false
2026-03-16,E. Andreeva vs R. Sramkova,Miami,4:6,6.5,6.55,13.2,2.6159145390648635,1.2379603484999975,14,true
2026-07-06,O. Weightman vs A. Gray,Nottingham 4,2:6,4.33,6.7,13,2.1875917193055727,1.160518611937802,14,false
2026-07-13,H. Grenier vs C. Vandermeersch,Pozoblanco,6:4,8.7,12,21,4.06677796327212,1.1477025372008112,14,false
2026-07-20,J. Kym vs J. Clarke,Zug,1:6,15,9.5,23,4.6423512747875355,1.1785922391132229,14,false
2026-06-15,E. Mertens vs L. Samsonova,Berlin,1:6,11,9,26,4.158319870759289,1.0517706369033486,14,false
2026-06-22,M. Soto vs I. Monzon,Piracicaba,6:3,17,15,29,6.25105663567202,1.224078896482014,14,false
2026-03-16,R. Brantmeier vs Y. Yuan,Miami,7:6,5,6.85,13.2,2.3711123931399802,1.2320428552083076,14,false
2026-07-06,S. Broadus vs L. Stefanini,"W100 Cary, NC",3:6,7.8,7.6,15,3.0632492765605623,1.1554588061840447,14,true
2026-07-13,P. Inchauspe vs H. Stewart,Pozoblanco,3:6,8.75,6.9,17,3.144290418932373,1.198015208823492,14,true
2026-07-20,T. Seyboth Wild vs Z. Kolar,Zug,6:3,8.5,6.8,17,3.090909090909091,1.2137344100184848,14,false
2026-06-15,M. Frech vs S. Zhang,Berlin,2:6,8.5,7.5,19,3.2936777702243374,1.0680948337793135,14,false
2026-06-22,J. B. Torres vs A. Hernandez,Piracicaba,3:6,15,11.25,24,5.070422535211268,1.2130638754475456,14,true
2026-05-18,D. Michalski vs M. Sharipov,Istanbul (Turkey) - Qualification,6:3,6.05,6.6,15,2.6077586206896552,1.3557078600838353,14,false
2026-03-16,M. Brengle vs L. Fruhvirtova,Miami,4:6,5.5,8,13.5,2.625414364640884,1.1927049108704886,14,true
2026-07-06,T. Legout vs B. Shick,Cary,6:4,6.7,9.5,15,3.1134844285015495,1.1172155029204234,14,false
2026-07-13,T. Pereira vs M. Tobon,Pozoblanco,6:4,7.1,10,17,3.3370196295272323,1.1170600028675595,14,false
2026-07-20,M. Alkaya vs J. P. Ficovich,Segovia,6:3,9,7.5,17,3.2974137931034484,1.1292574784363718,14,false
2026-06-15,R. Masarova vs M. Pohankova,Berlin,6:1,9,7.5,23,3.4731543624161074,1.0520571862241128,14,false
2026-06-22,G. Villanueva vs N. Villalon,Piracicaba,1:6,19,15,34,6.724496877168633,1.196733328346089,14,false
2026-05-18,M. Mrva vs J. Forejtek,Istanbul (Turkey) - Qualification,4:6,6,7,13.7,2.614266242616992,1.2115072396153097,14,true
2026-04-20,K. Samrej vs H. Matsuoka,Gwangju,6:4,6,6,13,2.4375,1.2944712221566441,14,false
2026-03-16,E. Gorgodze vs T. Gibson,Miami,3:6,4.9,6.9,13.5,2.3636010563927297,1.23829296458061,14,true
2026-07-13,C. Rodesch vs M. Alkaya,Pozoblanco,7:6,12,11,26,4.701369863013698,1.2252866298664618,14,false
2026-07-20,M. Gonzalez Fernandez vs M. Tobon,Segovia,6:7,5.75,7.5,14,2.6407873154729367,1.180882508544467,14,false
2026-06-15,D. Siniakov vs B. Hassan,Poznan,6:3,7.5,6.5,19,2.942811755361398,1.0492593047311043,12,false
2026-05-18,C. Sanchez Jover vs N. Sanchez Izquierdo,Istanbul (Turkey) - Qualification,3:6,6,6.25,13.2,2.484939759036145,1.22354733842554,14,true
2026-03-16,V. Jimenez Kasintseva vs V. Lepchenko,Miami,2:6,13,9.4,21,4.330408369895377,1.2089282709471427,14,false
2026-07-06,J. S. Gomez vs E. Ribeiro,Bogota,2:6,6.5,5.75,13,2.4710743801652892,1.1264152631724895,14,false
2026-07-13,A. Santillan vs A. Lopez Escribano,Pozoblanco,3:6,34,13.5,34,7.524590163934426,1.1280658460505295,14,true
2026-07-20,Y. Zhou vs M. Geerts,Segovia,6:1,19,8.9,22,4.751820155830885,1.1064802561376117,14,false
2026-03-16,K. Rakhimova vs L. Jeanjean,Miami,6:7,13,9.2,19,4.197266346509051,1.2251062175169005,14,false
2026-07-13,A. Bondar vs S. Sorribes Tormo,Iasi,7:5,9.5,8.5,16.5,3.527134348113832,1.185107544869311,14,false
2026-07-20,M. Hurrion vs K. Bigun,Winnipeg,6:4,6.5,6,13,2.5161290322580645,1.28863493160669,14,false
2026-06-15,A. Wazny vs D. Yevseyev,Poznan,6:3,6.5,6.5,17,2.7283950617283947,1.0735780200714915,13,false
2026-03-16,K. Volynets vs P. Hon,Miami,6:1,9,9.5,18,3.6774193548387104,1.2352914995413242,14,false
2026-07-13,A. Charaeva vs V. Jimenez Kasintseva,Iasi,6:0,9.25,10,18,3.792710706150342,1.1773049509466214,14,false
2026-07-20,J. K. Trotter vs G. Dalmasso,Winnipeg,6:3,13,7,21,3.7397260273972606,1.2694845394582006,14,false
2026-03-16,K. Birrell vs V. Tomova,Miami,6:3,12,11,21,4.507317073170731,1.2492033947913206,14,false
2026-07-06,M. Kasnikowski vs F. Cina,Iasi,6:4,7,6.3,15,2.7155172413793105,1.2366499621910028,14,false
2026-07-13,N. Podoroska vs P. Marcinko,Iasi,2:6,5.4,8.5,13.5,2.6531791907514455,1.1710830648253248,14,false
2026-07-20,B. Tomic vs M. Lajal,Lincoln,4:6,5.7,7,15,2.59765625,1.1723502875243113,14,true
2026-06-15,M. H. Rehberg vs A. Marti Pujolras,Poznan,6:3,11,9,26,4.158319870759289,1.0473124126268143,12,false
2026-03-16,B. Andreescu vs S. Lamens,Miami,4:6,10,8.9,19,3.7737112251729528,1.2267459189787742,14,true
2026-07-06,J. Kym vs T. Faurel,Iasi,6:0,13,8.3,19,3.999414748341787,1.1764882042995948,14,false
2026-07-20,M. Echargui vs L. Harris,Bloomfield Hills,4:6,7.5,5.5,13.2,2.5581395348837206,1.159817658308687,14,true
2026-06-15,I. Lopez Morillo vs O. Wallin,Poznan,3:6,4.2,10,13,2.409532215357458,1.3048104369629976,12,true
2026-06-22,V. Williams vs I. Begu,Bad Homburg,2:6,7.5,6.5,13,2.746478873239437,1.1336066244642526,14,false
2026-03-16,O. Crawford vs M. Wiskandt,Morelos,6:4,12,9,23,4.203045685279188,1.221418760485137,14,false
2026-07-06,G. A. Olivieri vs T. Daniel,Iasi,0:6,6,6.1,13.5,2.471117779444861,1.216283638075287,14,false
2026-07-20,M. Zheng vs A. Shelbayh,Bloomfield Hills,6:4,12,12,25,4.838709677419355,1.1410314742877607,14,false
2026-06-15,R. Molleker vs M. Erhard,Poznan,7:5,7.5,6.5,19,2.942811755361398,1.058223301068326,12,false
2026-06-22,S. Sierra vs Q. Zheng,Bad Homburg,5:7,5.7,8.5,15,2.7796901893287433,1.134733837071832,14,true
2026-03-16,F. A. Gomez vs D. Martin,Morelos,6:3,14,17,34,6.2631578947368425,1.1484974937182675,14,false
2026-07-06,S. Palosi vs Z. Kolar,Iasi,5:7,4.75,5.6,12.7,2.1374924863171882,1.3590084631464419,14,true
2026-07-13,M. Krueger vs A. Martinez,Lincoln,6:2,7.3,9,17,3.2581680280046674,1.1927811962227288,14,false
2026-06-22,S. Kraus vs A. Kalinskaya,Bad Homburg,4:6,6,6.5,13.5,2.5342960288808665,1.2013995234156523,14,true
2026-03-16,A. Mayo vs A. Andrade,Morelos,4:6,6.5,5.65,13.5,2.4696762141967623,1.1972158043358627,14,true
2026-07-13,R. Noguchi vs C. Broom,Lincoln,6:2,6.8,7,15,2.804399057344855,1.2572972538297618,14,false
2026-07-20,V. Lepchenko vs E. Avanesyan,Hamburg,6:4,6.5,7,13.2,2.6848457755923114,1.1971883517239552,14,false
2026-06-15,D. Ajdukovic vs D. Svrcina,Poznan,3:6,5.05,7,15,2.4537251272559,1.0829455629681985,14,true
2026-03-16,V. Ursu vs A. Martin,Morelos,3:6,5.5,6.4,13.7,2.432729657468597,1.2287311591882184,14,true
2026-07-06,R. Brancaccio vs F. Agamenone,Trieste,7:6,6.65,7,16,2.8110964332893,1.3617062757267835,14,false
2026-07-13,C. Wong vs Wu Tung-Lin,Lincoln,6:2,9.5,7.4,17.5,3.3608796612484637,1.2191980848764352,14,false
2026-07-20,A. Bondar vs M. Uchijima,Hamburg,7:5,15,10.5,22,4.822546972860126,1.1189066099592415,14,false
2026-06-15,F. Diaz Acosta vs F. Roncadelli,Poznan,6:2,19,15,26,6.338751069289991,1.096991887173223,14,false
2026-05-18,C. Vandermeersch vs S. Pankin,M25 Kutaisi (Georgia),6:7,6.2,6.5,15.5,2.633986928104575,1.3632813008924003,14,false
2026-07-06,S. Nagal vs M. Dodig,Trieste,2:6,7.5,8,17,3.153013910355487,1.233010383121904,14,false
2026-07-13,F. Passaro vs M. Krumich,Bastad,4:6,15,7.5,19,3.958333333333333,1.1554986760068,14,true
2026-07-20,N. Podoroska vs J. Stusek,Hamburg,6:4,13,12,22,4.861189801699717,1.1769864197155486,14,false
2026-06-15,P. Delage vs S. Gulin,Royan,1:6,5.2,11,15,2.8580946035976016,1.0175422466695019,14,false
2026-05-18,Y. Hanfmann vs M. Schoenhaus,Hamburg,6:3,10.5,17,25,5.153002309468822,1.072136780717564,14,false
2026-07-06,F. Roncadelli vs M. Ribecai,Trieste,3:6,7,7.1,15,2.8541347626339975,1.2240195991458442,14,true
2026-07-20,K. Quevedo vs A. Kalinina,Hamburg,5:7,7.5,7.2,13.5,2.887700534759358,1.1502035542759452,14,true
2026-06-15,K. Feldbausch vs L. Lokoli,Royan,6:2,15,12,29,5.420560747663552,1.077475585628862,14,false
